team,number,player,position,height,weight,birthdate,experience,college
DAL, 25, Vince Carter, SG, 6-6, 215, January 26 1977, 15, University of North Carolina
DAL, 9, Jae Crowder, SF, 6-7, 240, July 6 1990, 1, Marquette University
DAL, 1, Samuel Dalembert, C, 6-11, 250, May 10 1981, 11, Seton Hall University
DAL, 21, Wayne Ellington, SG, 6-4, 200, October 29 1987, 4, University of North Carolina
DAL, 11, Monta Ellis, PG, 6-3, 175, October 26 1985, 8, 
DAL, 20, Devin Harris, PG, 6-3, 185, February 27 1983, 9, University of Wisconsin
DAL, 5, Bernard James, C, 6-10, 240, February 7 1985, 1, Florida State University
DAL, 3, Shane Larkin, PG, 5-11, 176, October 2 1992, R, University of Miami
DAL, 7, Ricky Ledo, SG, 6-7, 195, September 10 1992, R, 
DAL, 0, Shawn Marion, SF, 6-7, 220, May 7 1978, 14, University of Nevada Las Vegas
DAL, 33, Gal Mekel, PG, 6-3, 191, March 4 1988, R, Wichita State University
DAL, 41, Dirk Nowitzki, PF, 7-0, 237, June 19 1978, 15, 
DAL, 34, Brandan Wright, C, 6-9, 205, October 5 1987, 5, University of North Carolina
DEN, 00, Darrell Arthur, SF, 6-9, 225, March 25 1988, 4, University of Kansas
DEN, 0, Aaron Brooks, G, 6-0, 161, January 14 1985, 5, University of Oregon
DEN, 21, Wilson Chandler, SF, 6-8, 220, May 10 1987, 6, DePaul University
DEN, 35, Kenneth Faried, PF, 6-8, 228, November 19 1989, 2, Morehead State University
DEN, 94, Evan Fournier, SG, 6-6, 190, October 29 1992, 1, 
DEN, 4, Randy Foye, SG, 6-4, 210, September 24 1983, 7, Villanova University
DEN, 1, Jordan Hamilton, SF, 6-7, 220, October 6 1990, 2, University of Texas at Austin
DEN, 7, J.J. Hickson, PF, 6-9, 242, September 4 1988, 5, North Carolina State University
DEN, 3, Ty Lawson, PG, 5-11, 195, November 3 1987, 4, University of North Carolina
DEN, 34, JaVale McGee, C, 7-0, 237, January 19 1988, 5, University of Nevada Reno
DEN, 24, Andre Miller, SG, 6-2, 200, March 19 1976, 14, University of Utah
DEN, 30, Quincy Miller, SF, 6-9, 210, November 18 1992, 1, Baylor University
DEN, 25, Timofey Mozgov, C, 7-1, 250, July 16 1986, 3, 
DEN, 15, Anthony Randolph, PF, 6-10, 205, July 15 1989, 5, Louisiana State University
DEN, 10, Nate Robinson, PG, 5-9, 180, May 31 1984, 8, University of Washington
DEN, 24, Jan Vesely, F, 6-11, 240, April 24 1990, 2, 
DET, 1, Chauncey Billups, SG, 6-3, 202, September 25 1976, 16, University of Colorado
DET, 12, Will Bynum, PG, 6-0, 185, January 4 1983, 6, Georgia Institute of Technology
DET, 5, Kentavious Caldwell-Pope, SG, 6-5, 205, February 18 1993, R, University of Georgia
DET, 13, Luigi Datome, SF, 6-8, 215, November 27 1987, R, 
DET, 0, Andre Drummond, C, 6-10, 270, August 10 1993, 1, University of Connecticut
DET, 55, Josh Harrellson, C, 6-10, 275, February 12 1989, 2, University of Kentucky
DET, 7, Brandon Jennings, PG, 6-1, 169, September 23 1989, 4, 
DET, 33, Jonas Jerebko, PF, 6-10, 231, March 3 1987, 3, 
DET, 9, Tony Mitchell, PF, 6-8, 235, April 7 1992, R, North Texas State University
DET, 10, Greg Monroe, PF, 6-11, 253, June 4 1990, 3, Georgetown University
DET, 25, Kyle Singler, SF, 6-8, 230, May 4 1988, 1, Duke University
DET, 34, Peyton Siva, SG, 6-0, 185, October 24 1990, R, University of Louisville
DET, 6, Josh Smith, SF, 6-9, 225, December 5 1985, 9, 
DET, 3, Rodney Stuckey, SG, 6-5, 205, April 21 1986, 6, Eastern Washington University
DET, 31, Charlie Villanueva, PF, 6-11, 240, August 24 1984, 8, University of Connecticut
GSW, 57, Hilton Armstrong, C, 6-11, 235, November 11 1984, 5, University of Connecticut
GSW, 40, Harrison Barnes, SF, 6-8, 210, May 30 1992, 1, University of North Carolina
GSW, 20, Kent Bazemore, SG, 6-5, 201, July 1 1989, 1, Old Dominion University
GSW, 25, Steve Blake, G, 6-3, 172, February 26 1980, 10, University of Maryland
GSW, 12, Andrew Bogut, C, 7-0, 245, November 28 1984, 8, University of Utah
GSW, 2, MarShon Brooks, SG, 6-5, 200, January 26 1989, 2, Providence College
GSW, 55, Jordan Crawford, G, 6-4, 195, October 23 1988, 3, Xavier University
GSW, 30, Stephen Curry, PG, 6-3, 185, March 14 1988, 4, Davidson College
GSW, 21, Dewayne Dedmon, C, 7-0, 255, August 12 1989, R, University of Southern California
GSW, 0, Toney Douglas, PG, 6-2, 190, March 16 1986, 4, Florida State University
GSW, 23, Draymond Green, SF, 6-7, 230, March 4 1990, 1, Michigan State University
GSW, 9, Andre Iguodala, SF, 6-6, 207, January 28 1984, 9, University of Arizona
GSW, 1, Ognjen Kuzmic, C, 7-1, 251, May 16 1990, R, 
GSW, 10, David Lee, PF, 6-9, 249, April 29 1983, 8, University of Florida
GSW, 8, Nemanja Nedovic, SG, 6-3, 192, June 16 1991, R, 
GSW, 7, Jermaine O'Neal, PF, 6-11, 226, October 13 1978, 17, 
GSW, 5, Marreese Speights, C, 6-10, 245, August 4 1987, 5, University of Florida
GSW, 11, Klay Thompson, SG, 6-7, 205, February 8 1990, 2, Washington State University
HOU, 3, Omer Asik, C, 7-0, 255, July 4 1986, 3, 
HOU, 2, Patrick Beverley, SG, 6-1, 180, July 12 1988, 1, University of Arkansas
HOU, 10, Ronnie Brewer, SF, 6-7, 220, March 20 1985, 7, University of Arkansas
HOU, 0, Aaron Brooks, PG, 6-0, 161, January 14 1985, 5, University of Oregon
HOU, 1, Isaiah Canaan, PG, 6-0, 188, May 2 1991, R, Murray State University
HOU, 18, Omri Casspi, PF, 6-9, 225, June 22 1988, 4, 
HOU, 33, Robert Covington, SF, 6-9, 215, December 14 1990, R, Tennessee State University
HOU, 32, Francisco Garcia, SF, 6-7, 195, December 31 1981, 8, University of Louisville
HOU, 5, Jordan Hamilton, G-F, 6-7, 220, October 6 1990, 2, University of Texas at Austin
HOU, 13, James Harden, SG, 6-5, 220, August 26 1989, 4, Arizona State University
HOU, 12, Dwight Howard, C, 6-11, 240, December 8 1985, 9, 
HOU, 6, Terrence Jones, PF, 6-9, 252, January 9 1992, 1, University of Kentucky
HOU, 7, Jeremy Lin, PG, 6-3, 200, August 23 1988, 3, Harvard University
HOU, 20, Donatas Motiejunas, PF, 7-0, 222, September 20 1990, 1, 
HOU, 25, Chandler Parsons, SF, 6-9, 200, October 25 1988, 2, University of Florida
HOU, 4, Greg Smith, C, 6-10, 250, January 8 1991, 2, California State University Fresno
IND, 5, Lavoy Allen, F, 6-9, 225, February 4 1989, 2, Temple University
IND, 8, Rasual Butler, SG, 6-7, 205, May 23 1979, 10, La Salle University
IND, 22, Chris Copeland, SF, 6-9, 235, March 17 1984, 1, University of Colorado
IND, 24, Paul George, SF, 6-8, 210, May 2 1990, 3, California State University Fresno
IND, 33, Danny Granger, SF, 6-8, 225, April 20 1983, 8, University of New Mexico
IND, 55, Roy Hibbert, C, 7-2, 278, December 11 1986, 5, Georgetown University
IND, 3, George Hill, PG, 6-2, 180, May 4 1986, 5, Indiana University-Purdue University Indianapolis
IND, 9, Solomon Hill, SF, 6-7, 220, March 18 1991, R, University of Arizona
IND, 11, Orlando Johnson, SG, 6-5, 220, March 11 1989, 1, University of California Santa Barbara
IND, 28, Ian Mahinmi, C, 6-11, 230, November 5 1986, 5, 
IND, 4, Luis Scola, PF, 6-9, 245, April 30 1980, 6, 
IND, 15, Donald Sloan, SG, 6-3, 205, January 15 1988, 2, Texas A&M University
IND, 1, Lance Stephenson, SG, 6-5, 210, September 5 1990, 3, University of Cincinnati
IND, 12, Evan Turner, G, 6-7, 205, October 27 1988, 3, Ohio State University
IND, 32, C.J. Watson, PG, 6-2, 180, April 17 1984, 6, University of Tennessee
IND, 21, David West, PF, 6-9, 240, August 29 1980, 10, Xavier University
LAC, 22, Matt Barnes, SF, 6-7, 235, March 9 1980, 10, University of California Los Angeles
LAC, 25, Reggie Bullock, SF, 6-7, 205, March 16 1991, R, University of North Carolina
LAC, 2, Darren Collison, PG, 6-0, 160, August 23 1987, 4, University of California Los Angeles
LAC, 11, Jamal Crawford, SG, 6-6, 185, March 20 1980, 13, University of Michigan
LAC, 9, Jared Dudley, SF, 6-7, 225, July 10 1985, 6, Boston College
LAC, 34, Willie Green, SG, 6-4, 200, July 28 1981, 10, University of Detroit Mercy
LAC, 32, Blake Griffin, PF, 6-10, 251, March 16 1989, 3, University of Oklahoma
LAC, 15, Ryan Hollins, PF, 7-0, 230, October 10 1984, 7, University of California Los Angeles
LAC, 1, Stephen Jackson, SF, 6-8, 218, April 5 1978, 13, Butler County Community College
LAC, 33, Antawn Jamison, PF, 6-8, 223, June 12 1976, 15, University of North Carolina
LAC, 6, DeAndre Jordan, C, 6-11, 250, July 21 1988, 5, Texas A&M University
LAC, 7, Darius Morris, PG, 6-4, 190, January 3 1991, 2, University of Michigan
LAC, 0, Byron Mullens, C, 7-0, 275, February 14 1989, 4, Ohio State University
LAC, 3, Chris Paul, PG, 6-0, 175, May 6 1985, 8, Wake Forest University
LAC, 4, J.J. Redick, SG, 6-4, 190, June 24 1984, 7, Duke University
LAC, 8, Hedo Turkoglu, SF, 6-10, 220, March 19 1979, 13, 
LAC, 18, Sasha Vujacic, G, 6-7, 193, March 8 1984, 7, 
LAC, 5, Maalik Wayns, PG, 6-2, 200, May 2 1991, 1, Villanova University
LAL, 6, Kent Bazemore, G, 6-5, 201, July 1 1989, 1, Old Dominion University
LAL, 5, Steve Blake, PG, 6-3, 172, February 26 1980, 10, University of Maryland
LAL, 2, MarShon Brooks, G-F, 6-5, 200, January 26 1989, 2, Providence College
LAL, 24, Kobe Bryant, SG, 6-6, 200, August 23 1978, 17, 
LAL, 1, Jordan Farmar, PG, 6-2, 180, November 30 1986, 6, University of California Los Angeles
LAL, 16, Pau Gasol, C, 7-0, 227, July 6 1980, 12, 
LAL, 2, Elias Harris, SF, 6-8, 239, July 6 1989, R, Gonzaga University
LAL, 3, Manny Harris, SG, 6-5, 185, September 21 1989, 2, University of Michigan
LAL, 7, Xavier Henry, SF, 6-6, 220, March 15 1991, 3, University of Kansas
LAL, 27, Jordan Hill, PF, 6-10, 235, July 27 1987, 4, University of Arizona
LAL, 11, Wesley Johnson, SF, 6-7, 205, July 11 1987, 3, Syracuse University
LAL, 9, Chris Kaman, C, 7-0, 268, April 28 1982, 10, Central Michigan University
LAL, 4, Ryan Kelly, PF, 6-11, 230, April 9 1991, R, Duke University
LAL, 12, Kendall Marshall, PG, 6-4, 195, August 19 1991, 1, University of North Carolina
LAL, 20, Jodie Meeks, SG, 6-4, 208, August 21 1987, 4, University of Kentucky
LAL, 10, Steve Nash, PG, 6-3, 195, February 7 1974, 17, Santa Clara University
LAL, 50, Robert Sacre, C, 7-0, 263, June 6 1989, 1, Gonzaga University
LAL, 3, Shawne Williams, PF, 6-9, 225, February 16 1986, 5, University of Memphis
LAL, 0, Nick Young, SG, 6-6, 200, June 1 1985, 6, University of Southern California
MEM, 9, Tony Allen, SG, 6-4, 213, January 11 1982, 9, Oklahoma State University
MEM, 7, Jerryd Bayless, PG, 6-3, 200, August 20 1988, 5, University of Arizona
MEM, 12, Nick Calathes, SG, 6-6, 213, February 7 1989, R, University of Florida
MEM, 11, Mike Conley, PG, 6-1, 180, October 11 1987, 6, Ohio State University
MEM, 1, Seth Curry, PG, 6-2, 185, August 23 1990, R, Duke University
MEM, 32, Ed Davis, PF, 6-10, 225, June 5 1989, 3, University of North Carolina
MEM, 22, Jamaal Franklin, SG, 6-5, 191, July 21 1991, R, San Diego State University
MEM, 33, Marc Gasol, C, 7-1, 265, January 29 1985, 5, 
MEM, 3, James Johnson, SF, 6-9, 245, February 20 1987, 4, Wake Forest University
MEM, 41, Kosta Koufos, C, 7-0, 265, February 24 1989, 5, Ohio State University
MEM, 5, Courtney Lee, SG, 6-5, 200, October 3 1985, 5, Western Kentucky University
MEM, 30, Jon Leuer, PF, 6-10, 228, May 14 1989, 2, University of Wisconsin
MEM, 13, Mike Miller, SF, 6-8, 218, February 19 1980, 13, University of Florida
MEM, 7, Darius Morris, G, 6-4, 190, January 3 1991, 2, University of Michigan
MEM, 20, Quincy Pondexter, SG, 6-6, 225, March 10 1988, 3, University of Washington
MEM, 21, Tayshaun Prince, SF, 6-9, 215, February 28 1980, 11, University of Kentucky
MEM, 50, Zach Randolph, PF, 6-9, 253, July 16 1981, 12, Michigan State University
MIA, 34, Ray Allen, SG, 6-5, 205, July 20 1975, 17, University of Connecticut
MIA, 11, Chris Andersen, C, 6-10, 230, July 7 1978, 11, Blinn College
MIA, 50, Joel Anthony, C, 6-9, 245, August 9 1982, 6, University of Nevada Las Vegas
MIA, 31, Shane Battier, SF, 6-8, 220, September 9 1978, 12, Duke University
MIA, 8, Michael Beasley, SF, 6-9, 235, January 9 1989, 5, Kansas State University
MIA, 1, Chris Bosh, C, 6-10, 228, March 24 1984, 10, Georgia Institute of Technology
MIA, 15, Mario Chalmers, PG, 6-1, 190, May 19 1986, 5, University of Kansas
MIA, 30, Norris Cole, PG, 6-2, 170, October 13 1988, 2, Cleveland State University
MIA, 0, Toney Douglas, G, 6-2, 190, March 16 1986, 4, Florida State University
MIA, 40, Udonis Haslem, PF, 6-8, 230, June 9 1980, 10, University of Florida
MIA, 6, LeBron James, PF, 6-8, 240, December 30 1984, 10, 
MIA, 22, James Jones, SF, 6-8, 225, October 4 1980, 10, University of Miami
MIA, 9, Rashard Lewis, SF, 6-10, 215, August 8 1979, 15, 
MIA, 21, Roger Mason jr, SG, 6-5, 200, September 10 1980, 9, University of Virginia
MIA, 20, Greg Oden, C, 7-0, 250, January 22 1988, 2, Ohio State University
MIA, 3, Dwyane Wade, SG, 6-4, 212, January 17 1982, 10, Marquette University
MIL, 12, Jeff Adrien, F, 6-7, 243, February 10 1986, 3, University of Connecticut
MIL, 34, Giannis Antetokounmpo, SF, 6-9, 210, December 6 1994, R, 
MIL, 3, Caron Butler, SF, 6-7, 217, March 13 1980, 11, University of Connecticut
MIL, 31, John Henson, PF, 6-11, 220, December 28 1990, 1, University of North Carolina
MIL, 7, Ersan Ilyasova, PF, 6-9, 235, May 15 1987, 5, 
MIL, 11, Brandon Knight, PG, 6-3, 189, December 2 1991, 2, University of Kentucky
MIL, 00, O.J. Mayo, SG, 6-4, 210, November 5 1987, 5, University of Southern California
MIL, 22, Khris Middleton, SF, 6-7, 215, August 12 1991, 1, Texas A&M University
MIL, 12, Gary Neal, SG, 6-4, 210, October 3 1984, 3, Towson University
MIL, 27, Zaza Pachulia, C, 6-11, 240, February 10 1984, 10, 
MIL, 9, Miroslav Raduljica, C, 7-0, 250, January 5 1988, R, 
MIL, 13, Luke Ridnour, PG, 6-2, 175, February 13 1981, 10, University of Oregon
MIL, 8, Larry Sanders, C, 6-11, 235, November 21 1988, 3, Virginia Commonwealth University
MIL, 13, Ramon Sessions, G, 6-3, 190, April 11 1986, 6, University of Nevada Reno
MIL, 5, Ekpe Udoh, PF, 6-10, 240, May 20 1987, 3, Baylor University
MIL, 6, Nate Wolters, PG, 6-4, 190, May 15 1991, R, South Dakota State University
MIN, 11, Jose Barea, PG, 6-0, 175, June 26 1984, 7, Northeastern University
MIN, 13, Corey Brewer, SF, 6-9, 185, March 5 1986, 6, University of Florida
MIN, 10, Chase Budinger, SF, 6-7, 218, May 22 1988, 4, University of Arizona
MIN, 33, Dante Cunningham, SF, 6-8, 230, April 22 1987, 4, Villanova University
MIN, 5, Gorgui Dieng, C, 6-11, 245, January 18 1990, R, University of Louisville
MIN, 6, Robbie Hummel, SF, 6-8, 215, March 8 1989, R, Purdue University
MIN, 42, Kevin Love, PF, 6-10, 260, September 7 1988, 5, University of California Los Angeles
MIN, 23, Kevin Martin, SG, 6-7, 185, February 1 1983, 9, Western Carolina University
MIN, 12, Luc Mbah a Moute, PF, 6-8, 230, September 9 1986, 5, University of California Los Angeles
MIN, 15, Shabazz Muhammad, SG, 6-6, 225, November 13 1992, R, University of California Los Angeles
MIN, 14, Nikola Pekovic, C, 6-11, 243, January 3 1986, 3, 
MIN, 22, A.J. Price, SG, 6-2, 181, October 7 1986, 4, University of Connecticut
MIN, 9, Ricky Rubio, PG, 6-4, 180, October 21 1990, 2, 
MIN, 1, Alexey Shved, SG, 6-6, 190, December 16 1988, 1, 
MIN, 32, Ronny Turiaf, PF, 6-10, 249, January 13 1983, 8, Gonzaga University
MIN, 7, Derrick Williams, PF, 6-8, 241, May 25 1991, 2, University of Arizona
NOP, 42, Alexis Ajinca, C, 7-0, 220, May 6 1988, 3, 
NOP, 0, Al-Farouq Aminu, SF, 6-9, 215, September 21 1990, 3, Wake Forest University
NOP, 17, Louis Amundson, PF, 6-9, 225, December 7 1982, 7, University of Nevada Las Vegas
NOP, 33, Ryan Anderson, PF, 6-10, 240, May 6 1988, 5, University of California
NOP, 8, Luke Babbitt, F, 6-9, 225, June 20 1989, 3, University of Nevada Reno
NOP, 8, Josh Childress, SF, 6-8, 210, June 20 1983, 7, Stanford University
NOP, 23, Anthony Davis, C, 6-10, 220, March 11 1993, 1, University of Kentucky
NOP, 1, Tyreke Evans, SF, 6-6, 220, September 19 1989, 4, University of Memphis
NOP, 10, Eric Gordon, SG, 6-3, 222, December 25 1988, 5, Indiana University
NOP, 11, Jrue Holiday, PG, 6-3, 180, June 12 1990, 4, University of California Los Angeles
NOP, 2, Darius Miller, SF, 6-8, 235, March 21 1990, 1, University of Kentucky
NOP, 3, Anthony Morrow, SG, 6-5, 210, September 27 1985, 5, Georgia Institute of Technology
NOP, 21, Arinze Onuaku, PF, 6-9, 275, July 13 1987, R, Syracuse University
NOP, 25, Austin Rivers, SG, 6-4, 200, August 1 1992, 1, Duke University
NOP, 22, Brian Roberts, PG, 6-1, 180, December 3 1985, 1, University of Dayton
NOP, 14, Jason Smith, PF, 7-0, 240, March 2 1986, 5, Colorado State University
NOP, 34, Greg Stiemsma, C, 6-11, 260, September 26 1985, 2, University of Wisconsin
NOP, 42, Lance Thomas, SF, 6-8, 225, April 24 1988, 2, Duke University
NOP, 5, Jeff Withey, C, 7-0, 235, March 7 1990, R, University of Kansas
NYK, 45, Cole Aldrich, C, 6-11, 245, October 31 1988, 3, University of Kansas
NYK, 7, Carmelo Anthony, PF, 6-8, 230, May 29 1984, 10, Syracuse University
NYK, 77, Andrea Bargnani, C, 7-0, 225, October 26 1985, 7, 
NYK, 6, Tyson Chandler, C, 7-1, 235, October 2 1982, 12, 
NYK, 2, Raymond Felton, PG, 6-1, 198, June 26 1984, 8, University of North Carolina
NYK, 5, Tim Hardaway jr, SG, 6-6, 205, March 16 1992, R, University of Michigan
NYK, 3, Kenyon Martin, PF, 6-9, 234, December 30 1977, 13, University of Cincinnati
NYK, 23, Toure' Murry, SF, 6-5, 195, November 8 1989, R, Wichita State University
NYK, 9, Pablo Prigioni, PG, 6-3, 180, May 17 1977, 1, 
